config_id,mean_sharpe,min_sharpe,worst_max_drawdown,sum_pnl_usd,sharpe_2021_2022,sharpe_2023_2025,sharpe_2026,maxdd_2026,trades_total,pre_h,post_h,mode,time_filter_mode
95f4e43eee6e,3.9271502064287147,0.5546589342206588,-0.19971057592206698,4970.395999999993,0.5546589342206588,2.489625466200317,8.737166218865168,-0.12068393660451415,1191,0.5,0.5,no-entry,block_entry_hold_segment
8443bad70e62,3.8917834281373715,0.4898048938467927,-0.1765327632435406,4982.825999999992,0.4898048938467927,2.536654838409351,8.64889055215597,-0.12205836128426317,1196,0.5,0.5,force-flat,force_flat
89cb3b751857,3.913615738175713,0.5546589342206588,-0.20048589804613726,4919.938999999993,0.5546589342206588,2.4490220614413136,8.737166218865168,-0.12068393660451415,1189,0.5,1.0,no-entry,block_entry_hold_segment
1f2229c1efaa,3.7845354244579634,0.4843786535180169,-0.1919464553480109,4900.165999999994,0.4843786535180169,2.5121575401636513,8.357070079692221,-0.12542968116527597,1195,0.5,1.0,force-flat,force_flat
e8df694b19ba,3.913615738175713,0.5546589342206588,-0.20048589804613726,4919.938999999993,0.5546589342206588,2.4490220614413136,8.737166218865168,-0.12068393660451415,1189,0.5,1.5,no-entry,block_entry_hold_segment
d237dbf5f0fd,3.6568254398144098,0.48347577281925813,-0.18574860140342464,4826.574999999992,0.48347577281925813,2.5373355881422137,7.949664958481757,-0.1305404635179509,1195,0.5,1.5,force-flat,force_flat
ae22aeb8c588,3.9080341103458545,0.5546589342206588,-0.20048589804613726,4904.818999999993,0.5546589342206588,2.4322771779517365,8.737166218865168,-0.12068393660451415,1188,0.5,2.0,no-entry,block_entry_hold_segment
7fa3de6dabc8,3.5977137307827385,0.4860358634400698,-0.21630130363456967,4753.909999999991,0.4860358634400698,2.4931890098876712,7.813916319020475,-0.1324776445174073,1195,0.5,2.0,force-flat,force_flat
62f070995395,3.9080341103458545,0.5546589342206588,-0.20048589804613726,4904.818999999993,0.5546589342206588,2.4322771779517365,8.737166218865168,-0.12068393660451415,1188,0.5,3.0,no-entry,block_entry_hold_segment
f184db34a3e6,3.4038072144518257,0.4860358634400698,-0.21630130363456967,4629.909999999993,0.4860358634400698,2.489070068083507,7.2363157118318995,-0.14039106541446034,1195,0.5,3.0,force-flat,force_flat
0dca1e08e92f,3.9015320021029622,0.4778043212434011,-0.19971057592206698,4937.838999999993,0.4778043212434011,2.489625466200317,8.737166218865168,-0.12068393660451415,1190,1.0,0.5,no-entry,block_entry_hold_segment
16ef9053365f,3.941624832379244,0.48646726619298913,-0.17308335303618316,5047.180999999994,0.48646726619298913,2.588474862910126,8.749932368034617,-0.12138997509876592,1194,1.0,0.5,force-flat,force_flat
92a686d0164d,3.8879975338499606,0.4778043212434011,-0.20048589804613726,4887.381999999992,0.4778043212434011,2.4490220614413136,8.737166218865168,-0.12068393660451415,1188,1.0,1.0,no-entry,block_entry_hold_segment
6c41c824b886,3.8339490756502648,0.4810357683792666,-0.17462266321579045,4964.520999999996,0.4810357683792666,2.5639018891081866,8.45690956946334,-0.12472396941237351,1193,1.0,1.0,force-flat,force_flat
32c21148d6c9,3.8879975338499606,0.4778043212434011,-0.20048589804613726,4887.381999999992,0.4778043212434011,2.4490220614413136,8.737166218865168,-0.12068393660451415,1188,1.0,1.5,no-entry,block_entry_hold_segment
d4e0e4bc45cd,3.705777574366628,0.4801319163852747,-0.17257714953024983,4890.929999999995,0.4801319163852747,2.5891790965376247,8.048021710176984,-0.12977624516576147,1193,1.0,1.5,force-flat,force_flat
cd4abe3f9003,3.882415906020102,0.4778043212434011,-0.20048589804613726,4872.261999999993,0.4778043212434011,2.4322771779517365,8.737166218865168,-0.12068393660451415,1187,1.0,2.0,no-entry,block_entry_hold_segment
70182111c37f,3.6465563807346952,0.48269431286091624,-0.19790439751330346,4818.264999999994,0.48269431286091624,2.5450257451377434,7.9119490842054265,-0.13169064470419156,1193,1.0,2.0,force-flat,force_flat
32e9b2d81395,3.882415906020102,0.4778043212434011,-0.20048589804613726,4872.261999999993,0.4778043212434011,2.4322771779517365,8.737166218865168,-0.12068393660451415,1187,1.0,3.0,no-entry,block_entry_hold_segment
a2db6fa5c81d,3.4519761001343454,0.48269431286091624,-0.19790439751330346,4694.264999999996,0.48269431286091624,2.5408801284435683,7.332353859098552,-0.13950754967944756,1193,1.0,3.0,force-flat,force_flat
08b3bd38d248,3.9151796219380812,0.4554566602827589,-0.18861054546685085,5024.459999999994,0.4554566602827589,2.552915986666317,8.737166218865168,-0.12068393660451415,1187,1.5,0.5,no-entry,block_entry_hold_segment
c7487c0848d5,3.9474075700604963,0.4675399479598456,-0.17010315879795423,5065.365999999991,0.4675399479598456,2.619540225675815,8.755142536545828,-0.12145455606358846,1193,1.5,0.5,force-flat,force_flat
7e9d36d86553,3.901685705946766,0.4554566602827589,-0.18934277473442096,4974.002999999993,0.4554566602827589,2.51243423869237,8.737166218865168,-0.12068393660451415,1185,1.5,1.0,no-entry,block_entry_hold_segment
20ca9e96fa11,3.839482192492563,0.4620802188724071,-0.1733400859971601,4982.705999999993,0.4620802188724071,2.594977817699356,8.461388540905928,-0.12479214754130075,1192,1.5,1.0,force-flat,force_flat
a38d670dbdb5,3.901685705946766,0.4554566602827589,-0.18934277473442096,4974.002999999993,0.4554566602827589,2.51243423869237,8.737166218865168,-0.12068393660451415,1185,1.5,1.5,no-entry,block_entry_hold_segment
cf600971e95a,3.7110177432483717,0.4611711109895818,-0.16960867002974744,4909.11499999999,0.4611711109895818,2.6203511958996994,8.051530922855834,-0.1298500602731273,1192,1.5,1.5,force-flat,force_flat
2af7e4c9b813,3.89606004870441,0.4554566602827589,-0.19351296478144409,4958.8829999999925,0.4554566602827589,2.4955572669653043,8.737166218865168,-0.12068393660451415,1184,1.5,2.0,no-entry,block_entry_hold_segment
e2e41c584466,3.651876970096057,0.4637458164253186,-0.19790439751330346,4836.449999999993,0.4637458164253186,2.5767184758497703,7.915166618013082,-0.131766654285163,1192,1.5,2.0,force-flat,force_flat
a7640aa827cf,3.89606004870441,0.4554566602827589,-0.19351296478144409,4958.8829999999925,0.4554566602827589,2.4955572669653043,8.737166218865168,-0.12068393660451415,1184,1.5,3.0,no-entry,block_entry_hold_segment
0f7c53a1a577,3.4568564695377137,0.4637458164253186,-0.19790439751330346,4712.449999999995,0.4637458164253186,2.5725834912964456,7.3342401008913765,-0.13959285356071816,1192,1.5,3.0,force-flat,force_flat
1a6989b19bd7,3.9151796219380812,0.4554566602827589,-0.18861054546685085,5024.459999999994,0.4554566602827589,2.552915986666317,8.737166218865168,-0.12068393660451415,1187,2.0,0.5,no-entry,block_entry_hold_segment
1452ff13f662,3.9791528671832235,0.4675399479598456,-0.16984584815562687,5085.028999999988,0.4675399479598456,2.6211562258411023,8.848762427748722,-0.12054518139498371,1193,2.0,0.5,force-flat,force_flat
026ec0a4d5ca,3.901685705946766,0.4554566602827589,-0.18934277473442096,4974.002999999993,0.4554566602827589,2.51243423869237,8.737166218865168,-0.12068393660451415,1185,2.0,1.0,no-entry,block_entry_hold_segment
a8a9e34a0b1e,3.8715379453373955,0.4620802188724071,-0.1733400859971601,5002.36899999999,0.4620802188724071,2.5965873536114494,8.555946263528329,-0.12383230410595814,1192,2.0,1.0,force-flat,force_flat
e7c2a06af4e9,3.901685705946766,0.4554566602827589,-0.18934277473442096,4974.002999999993,0.4554566602827589,2.51243423869237,8.737166218865168,-0.12068393660451415,1185,2.0,1.5,no-entry,block_entry_hold_segment
58aeb09254a2,3.7435346965848537,0.4611711109895818,-0.16935162775299928,4928.777999999988,0.4611711109895818,2.621977933992712,8.147455044772267,-0.12881115769097862,1192,2.0,1.5,force-flat,force_flat
d1e6f83a122e,3.89606004870441,0.4554566602827589,-0.19351296478144409,4958.8829999999925,0.4554566602827589,2.4955572669653043,8.737166218865168,-0.12068393660451415,1184,2.0,2.0,no-entry,block_entry_hold_segment
fb83d007f104,3.684574387805073,0.4637458164253186,-0.19790439751330346,4856.112999999992,0.4637458164253186,2.578342947353275,8.011634399636625,-0.13069698316996314,1192,2.0,2.0,force-flat,force_flat
5f5eca781008,3.89606004870441,0.4554566602827589,-0.19351296478144409,4958.8829999999925,0.4554566602827589,2.4955572669653043,8.737166218865168,-0.12068393660451415,1184,2.0,3.0,no-entry,block_entry_hold_segment
2a95ee639378,3.4901951237622666,0.4637458164253186,-0.19790439751330346,4732.112999999994,0.4637458164253186,2.5742086101443955,7.4326309447170855,-0.13839292261752778,1192,2.0,3.0,force-flat,force_flat
da2b20f3098e,3.584672354051009,0.4554566602827589,-0.18861054546685085,4567.012999999994,0.4554566602827589,2.5489189111490105,7.749641490721257,-0.11751861848101275,1185,3.0,0.5,no-entry,block_entry_hold_segment
4363bd6d402f,3.9167533904602867,0.4675399479598456,-0.1708172622922569,5028.887999999988,0.4675399479598456,2.6029709982236904,8.679749225197325,-0.12250151783778473,1191,3.0,0.5,force-flat,force_flat
220ebc365d93,3.5711350876426593,0.4554566602827589,-0.18934277473442096,4516.555999999993,0.4554566602827589,2.508307111923963,7.749641490721257,-0.11751861848101275,1183,3.0,1.0,no-entry,block_entry_hold_segment
e17033de9a37,3.807881884327751,0.4620802188724071,-0.1733400859971601,4946.2279999999955,0.4620802188724071,2.5784052023128265,8.38316023179802,-0.1258977031962406,1190,3.0,1.0,force-flat,force_flat
9c4bb6baed6d,3.5711350876426593,0.4554566602827589,-0.18934277473442096,4516.555999999993,0.4554566602827589,2.508307111923963,7.749641490721257,-0.11751861848101275,1183,3.0,1.5,no-entry,block_entry_hold_segment
47338ad034b7,3.6781105871962043,0.4611711109895818,-0.1703184318735903,4872.636999999989,0.4611711109895818,2.6037313470718404,7.96942930352719,-0.13104747990422838,1190,3.0,1.5,force-flat,force_flat
5e0ab156de85,3.5654896063104435,0.4554566602827589,-0.1941424761012155,4501.435999999994,0.4554566602827589,2.4913706679273155,7.749641490721257,-0.11751861848101275,1182,3.0,2.0,no-entry,block_entry_hold_segment
bea4d91153fa,3.618448078120109,0.4637458164253186,-0.19790439751330346,4799.9719999999925,0.4637458164253186,2.5598253619279125,7.831773056007095,-0.13299985059522224,1190,3.0,2.0,force-flat,force_flat
cd2af2ec1493,3.5654896063104435,0.4554566602827589,-0.1941424761012155,4501.435999999994,0.4554566602827589,2.4913706679273155,7.749641490721257,-0.11751861848101275,1182,3.0,3.0,no-entry,block_entry_hold_segment
561b9e269558,3.421641619141879,0.4637458164253186,-0.19790439751330346,4675.971999999994,0.4637458164253186,2.55568305416147,7.245495986838849,-0.14097765984943122,1190,3.0,3.0,force-flat,force_flat
