config_id,mean_sharpe,min_sharpe,worst_max_drawdown,sum_pnl_usd,sharpe_2021_2022,sharpe_2023_2025,sharpe_2026,maxdd_2026,trades_total,nochop_ema,nochop_lookback,nochop_min_closes
6e74f4ba1633,2.668452378736273,0.41679358656822835,-0.2278363549227731,4397.447499999991,0.41679358656822835,2.356078041336428,5.232485508304162,-0.2278363549227731,1360,10,15,6
0f5647f47ba3,3.3657795574332563,0.6453361047572017,-0.23280869339201493,4801.860999999988,0.6453361047572017,2.3540174007513324,7.097985166791235,-0.21005241346575965,1334,10,15,8
411364c9103b,3.331471436822719,0.7847709492698695,-0.21878954250734683,4705.579499999993,0.7847709492698695,2.334303544548725,6.8753398166495625,-0.21878954250734683,1295,10,15,9
904255b93d3c,3.2454683118189878,0.5267521987390886,-0.20598751446170904,3968.8365000000085,0.5267521987390886,2.1543125879831684,7.0553401487347065,-0.20598751446170904,1263,10,15,10
40a8b31b0322,2.378497981069509,-0.2887612902476818,-0.2263375099443069,1501.9445000000394,-0.2887612902476818,1.116657308730186,6.307597924726022,-0.14150351814633721,1138,10,15,12
5b3945722f4a,1.5414985710980833,-0.849548314227668,-0.26921899764989,600.5515000000012,-0.849548314227668,0.5758139367134546,4.898230090808463,-0.11645957726088718,849,10,15,14
463b788b4434,2.6762908741506948,0.45826271246950295,-0.2278363549227731,4467.497499999988,0.45826271246950295,2.3811172332043906,5.189492676778191,-0.2278363549227731,1359,10,20,6
1986f1a707cc,3.1554555129398154,0.539875861358177,-0.225736315423953,4689.578999999995,0.539875861358177,2.3260285047876694,6.6004621726736,-0.225736315423953,1344,10,20,8
21c189f042ba,2.9974590767201845,0.5098321917067058,-0.24346022751528362,4408.698999999992,0.5098321917067058,2.323513324853489,6.159031713600357,-0.24346022751528362,1286,10,20,10
3a31001e679d,3.338256467152984,0.5442016658165107,-0.1626874346771109,4269.410000000022,0.5442016658165107,2.3012008106265185,7.169366925015924,-0.15732466195668027,1225,10,20,12
a3d7800bf962,2.8336688864763744,0.2862651144684818,-0.21920862159012944,2860.3945000000163,0.2862651144684818,1.9176810145893894,6.297060530371252,-0.1382295158016824,1123,10,20,14
67ef19c91a0c,2.123911198725326,-0.6925031614718339,-0.32344859308442053,945.7389999999975,-0.6925031614718339,0.8626611240973959,6.201575633550416,-0.07956721096711028,974,10,20,16
81a7b4ede713,1.246238206226061,-1.1780758650212682,-0.29685240929340695,113.69049999998265,-1.1780758650212682,0.026971412250767046,4.889819071448684,-0.12436338607287434,722,10,20,18
5e4442163047,0.8278194810026074,-0.9203560522787356,-0.42947503705921797,-133.12100000001237,-0.9203560522787356,-0.4667403228397152,3.870554818126273,-0.06742738178637464,363,10,20,20
e9feb6250ce2,2.6828779556045443,0.47724756786765665,-0.2278363549227731,4492.469999999992,0.47724756786765665,2.3818936221677856,5.189492676778191,-0.2278363549227731,1366,10,30,6
ecd591760651,2.6906156862900623,0.4732916379088101,-0.2272821781457044,4488.93749999999,0.4732916379088101,2.3752221060084744,5.223333314952902,-0.2272821781457044,1361,10,30,8
e9550ff6aed6,2.6194294952163077,0.44193580624860107,-0.2297272033243002,4379.061999999995,0.44193580624860107,2.3344373411008155,5.081915338299507,-0.2297272033243002,1357,10,30,10
045090646674,3.2216757030856864,0.5465026303249316,-0.2230058795368668,4819.304999999991,0.5465026303249316,2.3594105060391204,6.759113972893006,-0.17535351183546888,1337,10,30,12
4ab50d062d3c,3.6463365095036733,0.7114268267591513,-0.23142247708700958,4991.574500000002,0.7114268267591513,2.256748565681798,7.970834136070072,-0.14108600594215115,1290,10,30,14
b228825680a2,3.123935172183453,0.6822619028086561,-0.221364988766389,4487.262499999998,0.6822619028086561,2.4609879544152484,6.228555659326455,-0.14104973400205456,1270,10,30,15
c2c07f8cf58c,3.2152043514750086,0.7726975074867757,-0.21468301180855864,4196.685499999996,0.7726975074867757,2.300252019346057,6.5726635275921925,-0.13193158800687044,1244,10,30,16
a1c460a06956,3.1577121239871935,0.6394635763549003,-0.20306514838848988,3623.1809999999887,0.6394635763549003,2.078455677451047,6.755217118155633,-0.13480232068497444,1186,10,30,18
fc5d18aaa492,2.408527118067312,0.04770087583995528,-0.2396954100968527,2486.166999999976,0.04770087583995528,1.779266686079415,5.398613792282565,-0.2396954100968527,1094,10,30,20
5990762fa26d,2.70473251153136,0.13050060932454424,-0.18635118831553932,2376.934000000014,0.13050060932454424,1.6885493326401675,6.295147592629369,-0.1789795536424459,1012,10,30,21
17738de1fec5,2.6008867315018183,-0.26286045434247146,-0.21011786650495845,1359.7869999999893,-0.26286045434247146,0.8917806224313154,7.173740026416611,-0.14451127903990868,657,10,30,25
193b611f437f,-0.2120168193555045,-0.2490495073637936,-0.12881473613203231,-82.19450000000074,-0.1656147557959374,-0.2213861949067825,-0.2490495073637936,-0.11523129851298175,104,10,30,30
266169bbd0fe,2.669434146612776,0.472674389154158,-0.2278363549227731,4468.616499999991,0.472674389154158,2.346135373905979,5.189492676778191,-0.2278363549227731,1368,10,40,6
6e66499b42a5,2.669434146612776,0.472674389154158,-0.2278363549227731,4468.616499999991,0.472674389154158,2.346135373905979,5.189492676778191,-0.2278363549227731,1368,10,40,8
9cac651e7f6e,2.6688187594332713,0.472674389154158,-0.2278363549227731,4467.333499999992,0.472674389154158,2.344289212367465,5.189492676778191,-0.2278363549227731,1370,10,40,10
d96881b354d5,2.6529165145820444,0.44212482770277983,-0.2278363549227731,4435.099999999993,0.44212482770277983,2.327132039265163,5.189492676778191,-0.2278363549227731,1368,10,40,12
0f4946a15c23,2.651756950001923,0.4251296893132334,-0.2278363549227731,4420.678499999993,0.4251296893132334,2.3406484839143444,5.189492676778191,-0.2278363549227731,1365,10,40,14
4d67eb44fb38,3.0767843536258934,0.49392589467624176,-0.2278363549227731,4697.747999999987,0.49392589467624176,2.3603714783341743,6.3760556878672645,-0.2278363549227731,1358,10,40,16
15cef267b6eb,3.399953721846432,0.3739607201277757,-0.2110147168669595,4932.269500000002,0.3739607201277757,2.4177549521343122,7.408145493277208,-0.14146622562650657,1341,10,40,18
4717af3f001e,3.515904002851214,0.6334025023707951,-0.21267360455978734,4977.245500000001,0.6334025023707951,2.4242840045703464,7.490025501612501,-0.1384448374845635,1299,10,40,20
a4ed038ccb1e,3.456265432720612,0.8892810226860038,-0.19210854068765015,4084.3839999999877,0.8892810226860038,2.3554925053832005,7.1240227700926315,-0.1111402236466591,1138,10,40,24
289e5bca9779,3.2243214309604635,0.9464289044516377,-0.18223573977399032,3631.9495,0.9464289044516377,2.2027759295105023,6.523759458919251,-0.10543208721284048,1112,10,40,25
5608eb063598,3.095471574833764,0.9388309069697747,-0.19589075660745758,2398.968999999994,0.9388309069697747,1.3174318591246583,7.03015195840686,-0.13279738949031505,917,10,40,28
b79b0b20aa04,2.3267589944357603,0.5798002231917918,-0.2586961053232616,1253.6515000000043,0.6715485309853568,0.5798002231917918,5.728928229130132,-0.15284429202564176,726,10,40,30
2e0325cf2f05,2.6921784154014525,0.5221840494709864,-0.2331791005383086,4462.119999999993,0.5221840494709864,2.3569221216756455,5.197429075057725,-0.2331791005383086,1347,15,15,6
14d2668dd995,3.247438527717312,0.5411970678710261,-0.23350336100450297,4837.585499999999,0.5411970678710261,2.459069664288406,6.742048850992504,-0.23350336100450297,1286,15,15,8
01f20b9d6450,3.6737020007925167,0.620671108353222,-0.22463646764716305,5103.541500000003,0.620671108353222,2.5154865783781313,7.884948315646197,-0.17250556751573287,1256,15,15,9
5208d39b8bf5,3.5609954286701417,0.576308101343146,-0.2000973680956607,4526.603000000003,0.576308101343146,2.367847437282881,7.738830747384399,-0.2000973680956607,1201,15,15,10
7b8839ac7da9,2.7075738075573086,0.2348866402589753,-0.20015952476094878,2475.1485000000266,0.2348866402589753,1.7466603160089162,6.141174466404034,-0.19041079867122424,1115,15,15,12
35bc9707856f,1.3674025971139934,-0.21480590388354617,-0.2474876122498505,686.541999999997,-0.21480590388354617,0.5994094471869277,3.7176042480385987,-0.12980281372284241,965,15,15,14
3a5dfb0af346,2.6345554394340724,0.4795865792290697,-0.23418206888860982,4343.383499999991,0.4795865792290697,2.299220469371484,5.1248592697016635,-0.23418206888860982,1354,15,20,6
58ca09ef71a0,2.9927465109039417,0.5591690562925443,-0.24295279858926622,4635.934500000003,0.5591690562925443,2.3498611244801233,6.069209351939159,-0.24295279858926622,1314,15,20,8
13430b306c6c,3.3597467509849537,0.6321425029492656,-0.22369901841092876,4735.643,0.6321425029492656,2.3832649153595478,7.063832834646049,-0.16434454273669385,1266,15,20,10
762d85bec57a,3.5827148115231178,0.462622737770912,-0.21536471248772293,4732.283999999999,0.462622737770912,2.588554669620856,7.696967027177585,-0.21536471248772293,1204,15,20,12
2c03dae3c21a,2.8967962979921396,0.08150696984300088,-0.20115023259460862,3349.0340000000106,0.08150696984300088,2.229498511515874,6.3793834126175435,-0.19813315865812242,1112,15,20,14
1308e5d9220a,2.510895866047584,0.18588723249531175,-0.24749514803079853,2126.6094999999914,0.18588723249531175,1.5195899178988355,5.827210447748604,-0.09764749918121052,997,15,20,16
716a1663ad09,1.5024901815264868,-1.2074100492855853,-0.3880950464430145,649.0205000000203,-1.2074100492855853,0.7801863022958885,4.934694291569157,-0.1120653541394625,850,15,20,18
11d432d861b6,1.7592177023240698,-0.6711994047622646,-0.27962712920648225,447.1164999999819,-0.6711994047622646,0.3149599539729942,5.63389255776148,-0.10030435048512454,584,15,20,20
04b316b60981,2.681702695633737,0.4770240765837658,-0.2278363549227731,4486.815499999992,0.4770240765837658,2.3785913335392537,5.189492676778191,-0.2278363549227731,1365,15,30,6
0a163ab1833e,2.6873041476938013,0.4861826407917466,-0.2278363549227731,4498.483499999992,0.4861826407917466,2.3862371255114665,5.189492676778191,-0.2278363549227731,1360,15,30,8
9e44d43cf406,3.2182321251255193,0.500247917067958,-0.2129481300525542,4751.567499999992,0.500247917067958,2.3363067666284283,6.818141691680172,-0.17432844434722927,1352,15,30,10
33159ea2ffd2,3.2688613395587267,0.6046750377560658,-0.23061853911433616,4879.041499999992,0.6046750377560658,2.3905657732779093,6.811343207642204,-0.17476553465832956,1320,15,30,12
d29b117d2c34,3.6027646788599372,0.5926207021416041,-0.22919490938573606,5030.050999999995,0.5926207021416041,2.338948778916903,7.876724555521305,-0.14108600594215115,1283,15,30,14
0c109a9c010b,3.6616004830430904,0.6358233659202385,-0.22744356841992064,4944.820999999987,0.6358233659202385,2.288955103912001,8.060022979297033,-0.13206709399709993,1255,15,30,15
39b466d93470,3.365967124842929,0.6114596357764857,-0.21689830016490153,4482.885499999992,0.6114596357764857,2.215825324225147,7.270616414527154,-0.13671663329440598,1231,15,30,16
f70f7aa28af6,3.5785691236852357,0.4659981995577931,-0.20530656451397422,3985.7350000000088,0.4659981995577931,2.050057628187144,8.21965154331077,-0.11556075422261791,1180,15,30,18
f0092890446c,3.1333647005454375,0.4723890011127039,-0.17134515510223203,3479.1124999999893,0.4723890011127039,2.0927543596750033,6.834950740848605,-0.17134515510223203,1102,15,30,20
096de13b8d49,2.932820678010575,0.5373007014550454,-0.22679642539653355,3183.9884999999945,0.5373007014550454,2.0957889701310153,6.165372362445666,-0.22679642539653355,1052,15,30,21
92b30a7be772,2.3534025168942105,0.04928774580949319,-0.21343270080390675,1956.2895000000065,0.04928774580949319,1.4680111746742635,5.542908630198876,-0.14850949106607403,771,15,30,25
965d6731c511,0.40044009719941914,-0.49801385481580984,-0.16952351832914614,133.5050000000092,-0.49801385481580984,0.3598248458857067,1.3395093005283607,-0.11313672922252038,272,15,30,30
948a793b3276,2.669434146612776,0.472674389154158,-0.2278363549227731,4468.616499999991,0.472674389154158,2.346135373905979,5.189492676778191,-0.2278363549227731,1368,15,40,6
84b7667b4f81,2.669434146612776,0.472674389154158,-0.2278363549227731,4468.616499999991,0.472674389154158,2.346135373905979,5.189492676778191,-0.2278363549227731,1368,15,40,8
c2eb41c99262,2.6681353548487436,0.472674389154158,-0.2278363549227731,4465.839499999993,0.472674389154158,2.342238998613881,5.189492676778191,-0.2278363549227731,1369,15,40,10
b252a52f5bdc,2.6694036992425976,0.4633956578943508,-0.2278363549227731,4478.110499999993,0.4633956578943508,2.3553227630552516,5.189492676778191,-0.2278363549227731,1367,15,40,12
969226e31b01,2.6741508950899573,0.45451074222806304,-0.2278363549227731,4482.137999999993,0.45451074222806304,2.3784492662636176,5.189492676778191,-0.2278363549227731,1364,15,40,14
ed8442d168e5,2.701542905874311,0.4698882256004064,-0.2278363549227731,4525.024999999985,0.4698882256004064,2.4452478152443358,5.189492676778191,-0.2278363549227731,1354,15,40,16
fbabbf06eb30,3.4935471670081593,0.551949776998252,-0.20421910136412924,4982.347499999991,0.551949776998252,2.399024474913857,7.529667249112369,-0.13906399323377783,1330,15,40,18
9dd613e64ad3,3.7886698494163404,0.7287775543904125,-0.20891621440990316,5148.482499999987,0.7287775543904125,2.420258766308632,8.216973227549976,-0.13762746580627494,1305,15,40,20
cb9bdc980abd,3.5993694549327944,0.8797895527378911,-0.19427406298137917,4461.418499999994,0.8797895527378911,2.3590713947393946,7.559247417321097,-0.10232910681701324,1156,15,40,24
3550e78293e3,3.416536351153963,1.0562253608940053,-0.19563677524302536,4216.19799999999,1.0562253608940053,2.375112640266769,6.818271052301114,-0.13462171899125364,1105,15,40,25
5cc447c12cb9,3.572988422303895,1.2182832584971808,-0.2083555210757324,3616.385499999994,1.2182832584971808,1.8602008518932447,7.64048115652126,-0.13744666349215562,956,15,40,28
29056e65f428,2.670042824151464,0.6760746515250227,-0.19585039503014012,2125.3930000000223,0.6760746515250227,1.248723170303414,6.085330650625955,-0.19160999012276136,840,15,40,30
d4e2a5ec953b,2.7079221133785807,0.5860368768960587,-0.2331791005383086,4481.775999999988,0.5860368768960587,2.3403003881819577,5.197429075057725,-0.2331791005383086,1333,20,15,6
736f581d3091,2.6395801598976303,0.3881240362662732,-0.23569527296817283,4396.119999999994,0.3881240362662732,2.409606289510464,5.1210101539161546,-0.23569527296817283,1271,20,15,8
db23cf3ee9d6,3.683310447585176,0.5113315028168307,-0.20971910794592707,5057.246499999987,0.5113315028168307,2.517632075358322,8.020967764580375,-0.16062695924765114,1236,20,15,9
76cd9aec15b3,3.425456489007795,0.5430120913278067,-0.18663786036359198,4623.775999999997,0.5430120913278067,2.49230390674734,7.241053468948239,-0.18663786036359198,1203,20,15,10
92ab7bf0a3f2,3.126318213393695,0.506630319327489,-0.15864221213681018,3332.8515000000125,0.506630319327489,2.2052478314632262,6.667076489390369,-0.15864221213681018,1121,20,15,12
b816f31bb8b5,1.6342221733056632,-0.24554870760249028,-0.2891763919097545,1243.486499999988,-0.24554870760249028,1.0026991906909548,4.145516036828525,-0.14819609109574128,997,20,15,14
c8797fe9dc6b,2.6473485698597226,0.529052727157126,-0.23418206888860982,4356.271499999987,0.529052727157126,2.288133712720377,5.1248592697016635,-0.23418206888860982,1343,20,20,6
802fd13e1455,2.6277320500176446,0.5230540895368959,-0.2386877858290265,4394.0795,0.5230540895368959,2.3707797371114645,4.989362323404573,-0.2386877858290265,1305,20,20,8
038c2e102edf,3.241814063118517,0.44710114815456,-0.2293021122950476,4617.707000000001,0.44710114815456,2.3410314797824623,6.937309561418528,-0.16543735189702324,1254,20,20,10
48f79cea671f,3.6603052987066085,0.5596503646077965,-0.17238899546156372,4816.493999999994,0.5596503646077965,2.477027282302918,7.944238249209111,-0.17238899546156372,1209,20,20,12
9b6c41ac125f,3.089234964172315,0.34363021229146085,-0.18535388208928238,3849.3594999999978,0.34363021229146085,2.3985935770637687,6.525481103161717,-0.17595564497263405,1126,20,20,14
d691c4fffed6,2.842767467134823,0.39614718850387576,-0.19350379222925218,3097.6499999999974,0.39614718850387576,2.078219354582031,6.053935858318562,-0.12708417161839713,1053,20,20,16
e87f7b941212,1.975050832478343,-0.5022521612689453,-0.3165948382815321,1640.786500000005,-0.5022521612689453,1.4651229516120072,4.962281707091967,-0.1396342942560982,911,20,20,18
8ba06ccb29f0,1.1489804033272337,-1.2036194904451882,-0.32685995841136284,370.84199999999487,-1.2036194904451882,0.5915880087771159,4.058972691649774,-0.11678981682706968,706,20,20,20
0cb590e81934,2.6662024692141237,0.48667074707720037,-0.2278363549227731,4445.667499999993,0.48667074707720037,2.3224439837869797,5.189492676778191,-0.2278363549227731,1363,20,30,6
27168d78410d,2.6886324823410512,0.5030149441468096,-0.2278363549227731,4476.363499999991,0.5030149441468096,2.373389826098153,5.189492676778191,-0.2278363549227731,1360,20,30,8
a42fb9f26edd,2.6862269018727143,0.5288615026040919,-0.2278363549227731,4423.203499999991,0.5288615026040919,2.3403265262358595,5.189492676778191,-0.2278363549227731,1344,20,30,10
5a55fbabd95f,3.2862894379857543,0.6462426076857866,-0.22255648315895382,4879.9179999999915,0.6462426076857866,2.3944840145913053,6.818141691680172,-0.17432844434722927,1314,20,30,12
5194dfbad501,3.2280573873388385,0.5055411955583176,-0.22292512589191393,4787.237999999995,0.5055411955583176,2.4268395154562543,6.751791451001945,-0.1754610898416581,1274,20,30,14
c52d50d914bc,3.573890879098894,0.5720721597510088,-0.2121557866728535,4875.551499999989,0.5720721597510088,2.3086515613487095,7.8409489161969645,-0.13237660719554944,1260,20,30,15
7c72623dad65,3.6947975038088976,0.6204551809657577,-0.21818860154993036,4879.018999999989,0.6204551809657577,2.3399828161779515,8.123954514282984,-0.13206709399709993,1237,20,30,16
c25ef053875f,3.0439833780830945,0.4260473422961766,-0.20454127274332812,3739.804499999994,0.4260473422961766,2.0891520924197393,6.616750699533369,-0.11556075422261791,1207,20,30,18
b8e15f0cb402,2.800943957579905,0.5113225011814795,-0.21450989566275547,3600.9329999999864,0.5113225011814795,2.1951527203281134,5.696356651230122,-0.21450989566275547,1128,20,30,20
c3f34bc86cf6,2.98687090677353,0.5714205499271934,-0.20471576287840088,3492.693499999977,0.5714205499271934,2.243058362751343,6.146133807642053,-0.20471576287840088,1082,20,30,21
3833aba29f57,3.1312508985908942,0.8830606539375141,-0.17299989769963053,3017.0349999999994,0.8830606539375141,1.9115167704827423,6.599175271352426,-0.1677828818987337,852,20,30,25
3452f417ea92,0.20242654476661862,-0.2143317210820695,-0.15949938143198272,147.88050000001226,-0.2143317210820695,0.4154237158794715,0.40618763950245385,-0.11453129014586882,397,20,30,30
8eff8364f774,2.669434146612776,0.472674389154158,-0.2278363549227731,4468.616499999991,0.472674389154158,2.346135373905979,5.189492676778191,-0.2278363549227731,1368,20,40,6
4774ea213023,2.669434146612776,0.472674389154158,-0.2278363549227731,4468.616499999991,0.472674389154158,2.346135373905979,5.189492676778191,-0.2278363549227731,1368,20,40,8
056fbbfc6c57,2.6683689629427314,0.472674389154158,-0.2278363549227731,4466.329499999993,0.472674389154158,2.3429398228958447,5.189492676778191,-0.2278363549227731,1369,20,40,10
c4f5d8910bb9,2.6751364229894805,0.472674389154158,-0.2278363549227731,4487.607499999993,0.472674389154158,2.363242203036092,5.189492676778191,-0.2278363549227731,1367,20,40,12
013467a639cd,2.6818931973734403,0.4669226961316771,-0.2278363549227731,4512.730499999996,0.4669226961316771,2.3892642192104527,5.189492676778191,-0.2278363549227731,1364,20,40,14
a6416bddef0b,2.6851343619504746,0.4950830104307993,-0.2278363549227731,4477.55949999999,0.4950830104307993,2.3708273986424326,5.189492676778191,-0.2278363549227731,1351,20,40,16
b95933bdd702,2.773459101934868,0.7587882694541556,-0.2278363549227731,4523.362499999986,0.7587882694541556,2.3720963595722564,5.189492676778191,-0.2278363549227731,1332,20,40,18
58d4fb9004a1,3.694159703384815,0.8139257217037671,-0.20594921415217615,5075.938499999986,0.8139257217037671,2.44227798905741,7.826275399393267,-0.13526981013284145,1304,20,40,20
9d37a2652003,3.89606004870441,0.4554566602827589,-0.19351296478144409,4958.8829999999925,0.4554566602827589,2.4955572669653043,8.737166218865168,-0.12068393660451415,1184,20,40,24
804301394e40,3.467024195896475,0.7815374601609141,-0.20641492827089292,4402.0469999999905,0.7815374601609141,2.3860777354075697,7.2334573921209415,-0.111237706770272,1138,20,40,25
7ba60686a9fb,3.3784244194856172,1.1255124731825212,-0.18870596279103347,3879.9549999999936,1.1255124731825212,2.1531915271438815,6.856569258130449,-0.15737122641067203,988,20,40,28
00ac4dddf462,3.15306923040467,0.9650052293625755,-0.1997841278491833,2822.964499999987,0.9650052293625755,1.4399151826490946,7.05428727920234,-0.14408429822187185,900,20,40,30
