config_id,config_idx,period,pnl_usd,max_drawdown,sharpe,win_rate,profit_factor,trades,corr_logic,corr_window_xag,corr_min_abs_xag,corr_flip_lookback_xag,corr_max_flips_xag,corr_window_eur,corr_min_abs_eur,corr_flip_lookback_eur,corr_max_flips_eur
70040da30a43,1,2021-2022,-40.35299999999688,-0.1866482539088089,-0.004014375782751334,37.170263788968825,0.99849531438899,416,or,40,0.1,75,3,50,0.2,100,2
70040da30a43,1,2023-2025,2801.3865000000023,-0.14228682402598314,2.649012950805198,39.46308724832215,1.710252626637965,745,or,40,0.1,75,3,50,0.2,100,2
70040da30a43,1,2026,1214.7784999999903,-0.17924636840452068,7.8366370371751435,36.36363636363637,3.4964172851375825,43,or,40,0.1,75,3,50,0.2,100,2
ac1e63e75735,2,2021-2022,-3.9819999999954234,-0.17759423324446766,0.09434127297908322,37.170263788968825,1.0130757932751724,416,or,40,0.1,150,3,100,0.2,25,0
ac1e63e75735,2,2023-2025,2819.228500000006,-0.14898225106105656,2.564799393666474,39.46308724832215,1.6740678386458197,745,or,40,0.1,150,3,100,0.2,25,0
ac1e63e75735,2,2026,1204.6944999999896,-0.20990034155243154,7.49179221173382,36.36363636363637,3.286190301082202,43,or,40,0.1,150,3,100,0.2,25,0
09363361276c,3,2021-2022,10.567000000001826,-0.1528381515296282,0.1197926866312558,38.93129770992366,1.0650490897129037,261,and,40,0.35,150,6,50,0.3,50,2
09363361276c,3,2023-2025,685.4860000000026,-0.15921518565968662,1.1368905930415973,39.33161953727507,1.3843688213420648,389,and,40,0.35,150,6,50,0.3,50,2
09363361276c,3,2026,673.404999999997,-0.18519817263652016,4.936740222735753,40.0,4.897813478689308,14,and,40,0.35,150,6,50,0.3,50,2
7414e954e9b0,4,2021-2022,-103.06399999999712,-0.20035238965998092,-0.18349452977133668,37.2168284789644,0.9502035946852413,308,and,60,0.1,150,4,75,0.25,75,3
7414e954e9b0,4,2023-2025,1611.1900000000073,-0.11511215203232605,1.9841368507485508,40.0,1.6018170361248116,505,and,60,0.1,150,4,75,0.25,75,3
7414e954e9b0,4,2026,610.9969999999939,-0.19183146008026086,4.182840652943066,38.095238095238095,2.849652082151485,20,and,60,0.1,150,4,75,0.25,75,3
c4de44ccedb0,5,2021-2022,27.214000000002898,-0.11312296355555451,0.16842370425553185,37.170263788968825,1.0417569244049656,416,or,50,0.2,150,4,40,0.4,75,0
c4de44ccedb0,5,2023-2025,2145.136500000002,-0.12688082350622631,2.6252253912396197,39.620081411126186,1.7329242149833808,737,or,50,0.2,150,4,40,0.4,75,0
c4de44ccedb0,5,2026,1045.4959999999946,-0.14312861044643022,7.952137199478181,37.2093023255814,3.8727822795519633,42,or,50,0.2,150,4,40,0.4,75,0
231765b8f139,6,2021-2022,-113.06799999999885,-0.19352321051521748,-0.21115917679162863,36.61538461538461,0.9536298856113017,324,and,50,0.3,50,2,50,0.2,25,3
231765b8f139,6,2023-2025,2432.009000000003,-0.12200851800674395,2.4716745188981752,40.18518518518518,1.767910126074115,540,and,50,0.3,50,2,50,0.2,25,3
231765b8f139,6,2026,749.5229999999992,-0.20821105898056813,4.8671627551645,34.78260869565217,3.080413440711427,22,and,50,0.3,50,2,50,0.2,25,3
6a477f1f248b,7,2021-2022,119.45300000000475,-0.18057717516921612,0.3818277691510605,37.170263788968825,1.078554283430548,416,or,40,0.1,50,0,75,0.1,75,5
6a477f1f248b,7,2023-2025,3254.376500000001,-0.156028955439258,2.642252987901618,39.59731543624161,1.6791099147368427,745,or,40,0.1,50,0,75,0.1,75,5
6a477f1f248b,7,2026,1260.612499999991,-0.20990034155243154,7.571885458920072,36.36363636363637,3.16678879905853,43,or,40,0.1,50,0,75,0.1,75,5
51d6357f98da,8,2021-2022,-33.49199999999837,-0.12390490931958054,-0.03155400073674808,38.59649122807017,0.9863507960768619,228,and,50,0.35,150,0,30,0.3,100,2
51d6357f98da,8,2023-2025,952.6440000000048,-0.11635487106159315,1.5200860600876664,39.03225806451613,1.593896996891289,310,and,50,0.35,150,0,30,0.3,100,2
51d6357f98da,8,2026,375.6449999999986,-0.18329986771313322,3.500012128887134,33.33333333333333,5.9682323212848924,8,and,50,0.35,150,0,30,0.3,100,2
1e6ed404a9a5,9,2021-2022,-28.17449999999576,-0.15508812879817957,0.01067218095293831,37.170263788968825,1.0050010038354946,416,or,100,0.15,150,2,40,0.35,75,6
1e6ed404a9a5,9,2023-2025,2202.2385000000045,-0.1391772175297058,2.408831249932633,39.54423592493298,1.6327672004075362,746,or,100,0.15,150,2,40,0.35,75,6
1e6ed404a9a5,9,2026,1119.8159999999943,-0.14312861044643022,8.04671012639282,36.36363636363637,3.8698423870542173,43,or,100,0.15,150,2,40,0.35,75,6
42f3774ebc2f,10,2021-2022,-48.07999999999947,-0.1934637109655879,-0.06958737717999276,38.23529411764706,1.02048208337997,238,and,75,0.2,25,4,40,0.3,75,1
42f3774ebc2f,10,2023-2025,986.3410000000022,-0.12272117642693237,1.5298472291701393,38.53211009174312,1.6227461271146173,327,and,75,0.2,25,4,40,0.3,75,1
42f3774ebc2f,10,2026,540.1349999999966,-0.18519817263652016,4.374532310906598,35.714285714285715,4.234640304035465,13,and,75,0.2,25,4,40,0.3,75,1
43b0c92d978b,11,2021-2022,40.2605000000035,-0.17141649502392853,0.20414661244532548,37.170263788968825,1.037516231398544,416,or,100,0.15,50,6,30,0.2,75,6
43b0c92d978b,11,2023-2025,3011.959,-0.15022423977675192,2.598744637391559,39.54423592493298,1.701039360847755,746,or,100,0.15,50,6,30,0.2,75,6
43b0c92d978b,11,2026,1264.1139999999932,-0.1597466947042806,8.273229498807412,36.36363636363637,3.6565067484972875,43,or,100,0.15,50,6,30,0.2,75,6
962e6b1e9fe2,12,2021-2022,94.0970000000043,-0.1645293682543163,0.33069068639587773,37.5,1.0729658671300588,375,and,30,0.2,50,0,100,0.1,75,5
962e6b1e9fe2,12,2023-2025,3132.377000000006,-0.1522394187388828,2.5665043949021267,39.02439024390244,1.6929821043003348,656,and,30,0.2,50,0,100,0.1,75,5
962e6b1e9fe2,12,2026,871.4699999999939,-0.2086567164179154,5.575807475032398,40.0,3.088802998819443,29,and,30,0.2,50,0,100,0.1,75,5
706f5f5fa1e5,13,2021-2022,-209.3119999999999,-0.2763324801620536,-0.5381279640500526,37.2,0.8482558661233627,249,and,60,0.2,25,0,50,0.25,150,0
706f5f5fa1e5,13,2023-2025,1477.1049999999977,-0.10636436720155107,2.073968350182489,41.11111111111111,1.8432786392160923,360,and,60,0.2,25,0,50,0.25,150,0
706f5f5fa1e5,13,2026,283.0769999999993,-0.10418228436915589,3.4223146938480924,37.5,4.159946760676369,7,and,60,0.2,25,0,50,0.25,150,0
a36df18da677,14,2021-2022,-91.21299999999974,-0.1786772931063656,-0.19308437425277294,38.188976377952756,0.9332629980954917,253,and,50,0.2,75,6,40,0.25,150,2
a36df18da677,14,2023-2025,1508.1779999999944,-0.12978299379982317,2.02498905129347,40.0,1.7759982648008454,375,and,50,0.2,75,6,40,0.25,150,2
a36df18da677,14,2026,789.5329999999976,-0.17212156367025766,5.667096672081208,37.5,5.461625747684951,15,and,50,0.2,75,6,40,0.25,150,2
9abb777ba267,15,2021-2022,-61.02599999999711,-0.11145703316845779,-0.14885974835505592,37.096774193548384,0.9887167099297949,186,and,100,0.3,150,5,40,0.4,100,5
9abb777ba267,15,2023-2025,944.7460000000051,-0.11223104934157901,1.6445868717449865,41.32841328413284,1.85553297793916,271,and,100,0.3,150,5,40,0.4,100,5
9abb777ba267,15,2026,385.9349999999995,-0.17779462388620393,3.711582395093413,37.5,4.801623608641141,8,and,100,0.3,150,5,40,0.4,100,5
4efa994e7a96,16,2021-2022,-4.124499999995805,-0.2023940398373596,0.09737098814344859,37.170263788968825,1.012497271608405,416,or,50,0.25,100,1,75,0.2,50,4
4efa994e7a96,16,2023-2025,2982.637000000006,-0.14292387790929761,2.6572087576981467,39.83739837398374,1.7108432774703233,738,or,50,0.25,100,1,75,0.2,50,4
4efa994e7a96,16,2026,1106.2224999999926,-0.20990034155243154,6.84003136102261,37.2093023255814,2.932730957074599,42,or,50,0.25,100,1,75,0.2,50,4
