i,trend.fast,trend.slow,htf_confirm.rule,ema_sep.ema_fast,ema_sep.ema_slow,ema_sep.atr_n,ema_sep.sep_k,nochop.ema,nochop.lookback,nochop.min_closes,corr.logic,corr.xag.window,corr.xag.min_abs,corr.xag.flip_lookback,corr.xag.max_flips,corr.eur.window,corr.eur.min_abs,corr.eur.flip_lookback,corr.eur.max_flips,risk.shock_exit_abs_ret,risk.segment_ttl_bars,ok,sum_pnl,worst_maxdd,avg_sharpe,maxdd_violation
291,35,80,15min,40,300,14,0.03,15,40,24,or,60,0.1,75,5,50,0.1,100,5,0.006,192,True,447.8586500000015,-19.34074543622859,3.9414417280500587,0.0
74,45,90,15min,40,300,20,0.04,25,60,18,or,40,0.1,75,2,100,0.05,75,5,0.007,192,True,425.97875,-19.561580654828138,3.2180520452378456,0.0
450,25,100,15min,30,400,14,0.08,25,20,12,or,40,0.15,30,0,75,0.05,75,5,0.008,192,True,422.335499999998,-17.760441994631382,3.907299431830033,0.0
167,25,80,15min,40,300,20,0.08,20,50,30,or,40,0.2,50,0,50,0.05,75,5,0.007,0,True,417.8945499999995,-19.244200977112946,3.3543645967030247,0.0
216,30,100,15min,20,300,20,0.05,15,40,24,or,40,0.15,50,0,30,0.15,50,5,0.007,192,True,413.90540000000175,-19.475940260521796,4.24638373923766,0.0
221,40,100,15min,30,350,30,0.03,20,60,12,or,40,0.15,75,5,75,0.1,100,2,0.008,192,True,398.122399999999,-19.018076997939293,3.6450188883412067,0.0
485,25,110,15min,40,400,20,0.02,25,40,24,or,20,0.05,30,5,100,0.1,50,5,0.005,192,True,396.4477000000005,-14.853542998454971,3.683463023833576,0.0
239,35,100,15min,20,150,30,0.06,20,30,18,or,60,0.2,50,5,50,0.2,100,5,0.006,192,True,373.5471500000008,-19.07479222366957,3.6948772762948727,0.0
140,45,100,15min,60,400,30,0.05,15,40,18,or,80,0.1,75,2,100,0.05,75,0,0.004,0,True,351.9538999999969,-19.778650302716173,3.402899798125372,0.0
272,30,110,15min,60,250,14,0.03,15,30,18,or,80,0.1,75,2,50,0.15,100,0,0.008,192,True,337.8840000000032,-16.175551577676462,3.9079895381943413,0.0
125,40,100,15min,40,300,20,0.04,25,30,24,or,20,0.05,30,0,75,0.05,75,5,0.007,0,True,323.5104499999973,-19.338423594561803,3.1640213899981404,0.0
228,40,110,15min,40,400,14,0.08,20,60,18,or,30,0.2,30,0,30,0.15,50,2,0.004,0,True,320.8169000000011,-19.02922401952061,3.6851270883237084,0.0
460,25,80,15min,20,200,30,0.03,10,30,18,or,80,0.15,30,2,30,0.2,75,5,0.008,0,True,307.67840000000035,-19.298972741816712,2.7619472637347933,0.0
545,40,80,15min,60,300,14,0.04,10,30,18,or,30,0.05,50,2,50,0.15,75,2,0.006,192,True,306.79319999999825,-15.660570641417115,3.218596124071793,0.0
469,40,110,15min,60,400,30,0.08,15,30,18,or,80,0.05,30,5,100,0.2,75,5,0.007,0,True,305.9049000000017,-17.021133481443762,3.078911820552468,0.0
464,40,110,15min,60,150,20,0.04,25,20,12,or,20,0.2,50,0,30,0.1,50,5,0.004,192,True,304.70535000000154,-19.805378153758348,3.909067313253034,0.0
343,30,75,15min,60,250,14,0.05,30,40,30,or,20,0.05,30,2,50,0.15,75,5,0.006,0,True,303.4276999999988,-17.870128114772466,3.0195502628324227,0.0
493,20,70,15min,50,250,20,0.06,10,40,24,or,30,0.05,75,0,100,0.15,50,2,0.007,48,True,299.1424499999989,-18.905033321491118,2.7856988336425985,0.0
66,20,75,15min,20,400,30,0.08,30,60,24,or,80,0.1,75,5,30,0.1,100,0,0.007,0,True,297.43364999999886,-19.79553651327387,3.2321160973925536,0.0
316,40,110,15min,20,150,30,0.04,15,50,30,or,40,0.15,50,5,30,0.2,75,2,0.008,48,True,285.80055000000027,-13.330388745638222,4.6455307460974264,0.0
218,40,110,15min,50,350,20,0.06,15,60,30,or,30,0.05,75,2,30,0.1,100,0,0.007,0,True,277.877700000001,-17.354850228162853,3.2504311874686427,0.0
309,35,60,15min,50,250,20,0.04,20,30,24,or,40,0.1,75,0,75,0.05,50,2,0.008,0,True,275.88434999999845,-17.89008712140072,2.6367028924894176,0.0
85,20,75,15min,40,300,30,0.03,10,50,30,or,60,0.2,75,0,100,0.1,75,2,0.008,96,True,269.2972999999995,-19.097001280143754,2.765986508017409,0.0
57,25,90,15min,60,400,30,0.02,10,40,24,or,40,0.05,50,2,50,0.05,50,2,0.004,0,True,266.8893999999997,-19.64876149860163,2.5434479856208636,0.0
174,25,100,15min,20,300,20,0.08,30,50,30,or,20,0.1,50,2,30,0.2,100,0,0.008,192,True,257.7734499999984,-17.557038060119336,3.7531282203574787,0.0
20,40,60,15min,20,350,30,0.03,30,20,12,or,20,0.05,75,0,30,0.1,50,0,0.008,192,True,250.97824999999838,-19.430263263979697,2.370197955233736,0.0
22,45,90,15min,40,400,14,0.08,25,40,30,or,40,0.2,50,5,50,0.15,50,5,0.005,0,True,250.51395000000008,-19.433745090945308,2.675713852299831,0.0
330,40,60,15min,60,300,14,0.05,30,60,24,or,40,0.2,75,2,30,0.1,100,0,0.006,192,True,247.1548499999992,-18.754830162911297,1.9205955927608012,0.0
169,40,60,15min,30,150,14,0.04,20,30,24,or,80,0.05,30,0,100,0.05,75,5,0.005,96,True,246.3407499999972,-17.26132994527987,2.6973453936896203,0.0
123,40,60,15min,50,250,14,0.02,20,30,24,or,30,0.1,50,2,100,0.15,50,0,0.006,192,True,235.71329999999696,-16.269897378966448,2.6164133460669134,0.0
335,30,70,15min,20,200,14,0.08,20,30,24,or,20,0.15,30,0,100,0.05,50,5,0.004,0,True,232.52539999999667,-17.591775017034415,2.524135767015442,0.0
384,45,100,15min,50,350,30,0.04,25,40,18,or,40,0.1,75,0,50,0.15,100,0,0.008,96,True,226.23484999999891,-17.930664128418538,3.0845465317725904,0.0
197,25,75,15min,30,150,14,0.08,15,50,30,or,80,0.05,30,5,100,0.1,75,2,0.005,48,True,225.46584999999965,-18.421378130968247,2.4940195469295894,0.0
325,25,70,15min,20,350,20,0.03,20,50,24,or,30,0.15,50,2,50,0.1,75,5,0.004,48,True,218.76340000000107,-19.628053523740984,2.5770700629160532,0.0
244,40,80,15min,60,350,14,0.06,30,30,24,or,20,0.1,30,0,30,0.1,100,2,0.007,96,True,212.16224999999952,-17.695115613631707,2.9162428112761867,0.0
249,45,100,15min,40,300,14,0.04,10,50,30,or,80,0.05,50,2,100,0.1,50,0,0.005,48,True,211.88194999999985,-16.360061531970782,2.494111160836183,0.0
40,20,100,15min,50,400,30,0.06,25,30,24,or,40,0.15,30,0,100,0.05,50,5,0.007,96,True,206.60060000000112,-19.568129438879044,2.2959558614263798,0.0
470,25,75,15min,60,200,20,0.05,15,30,24,or,40,0.05,50,0,100,0.05,100,2,0.005,192,True,206.19195000000275,-17.853299560616264,2.146093755716238,0.0
395,45,80,15min,60,250,14,0.04,30,20,18,or,40,0.15,50,5,100,0.1,75,5,0.006,192,True,205.38589999999755,-19.86418568854762,1.9919555572495111,0.0
490,25,90,15min,20,150,30,0.06,30,30,24,or,20,0.2,50,0,30,0.2,100,0,0.004,0,True,205.1579999999999,-17.07958186054691,3.221953542816799,0.0
